Polities,Volunteers,Languages,Language Count,Principal Languages,Immigrant Languages,Duplicate Immigrant Languages,Geographic Note,Nationally Official Languages,Nationally Official Names,Nationally Official Data,Regionally Official Languages,Regionally Official Names,Regionally Official Data,Recognized Languages,Territories,Territory Count,Continent,Language Count Details,Videos Recorded,Corporate Sponsorship,Content resources,Poly Early Access,ISO 3166,Latitude,Longitude,Coordinates,Geocode
'''[[Abruzzo]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Aosta Valley]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Apulia]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Basilicata]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Calabria]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Campania]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Emilia-Romagna]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Friuli-Venezia Giulia]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Lazio]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Liguria]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Lombardy]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Marche]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Molise]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Piedmont]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Sardinia]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Sicily]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Trentino-Alto Adige/Südtirol|Trentino-South Tyrol]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Tuscany]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Umbria]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
'''[[Veneto]],,,0,,,,,,,,,,,,,0,,,,,,,,,,No data,
Abkhazia,,,0,,,,,"rus,abk","Russian, Abkhaz","Abkhazian, Russian",,,,,,0,Eurasia,,,,,,,,,No data,🔵 eyJpIjoiTm8gZGF0YSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMTkgUnVlIEdhbGlsw6llLCA3NTExNiBQYXJpcywgRnJhbmNlIiwibGF0Ijo0OC44Njg4MjYwMDAwMDAwMSwibG5nIjoyLjI5MzY0Njk5OTk5OTk2NDV9LCJlIjoxNTAwODQ5MDE5MzgxfQ==
Algeria,,"arq,aao,asp,cnu,grr,kcy,kab,mzb,oua,shy,tjo,tia,thv",13,"fra,arb,arq,kab","Tadaksahak (1,800)","Tadaksahak (1,800)",Largest country in Africa.,"arb,tzm","Arabic, Standard, Tamazight, Central Atlas","Arabic, Tamazight","ita,ell","Italian, Greek","Greek, Italian",,,0,Africa,"The number of individual languages listed for Algeria is 18. All are living languages. Of these, 3 are institutional, 4 are developing, 3 are vigorous, 7 are in trouble, and 1 is dying.",,,,,DZ,28.033886,1.659626,"28.033886,1.659626",🔵 eyJpIjoiMjguMDMzODg2LDEuNjU5NjI2IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6MjguMDMzODg2LCJsbmciOjEuNjU5NjI2fSwiZSI6MH0=
Andorra,,,0,"cat,fra,spa",English (770),English (770),,cat,Catalan,Catalan,spa,Spanish,Spanish,,,0,Eurasia,"The number of individual languages listed for Andorra is 4. All are living languages. Of these, 3 are institutional and 1 is developing.",,,,,AD,42.546245,1.601554,"42.546245,1.601554",🔵 eyJpIjoiNDIuNTQ2MjQ1LDEuNjAxNTU0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDIuNTQ2MjQ1LCJsbmciOjEuNjAxNTU0fSwiZSI6MH0=
Antigua and Barbuda,,aig,1,"aig,eng","North Levantine Spoken Arabic (400), Portuguese (1,600)","North Levantine Spoken Arabic (400), Portuguese (1,600)",,eng,English,English,,,,,,0,Americas,"The number of individual languages listed for Antigua and Barbuda is 2. All are living languages. Of these, 1 is institutional and 1 is vigorous.",,,,,AG,17.060816,-61.796428,"17.060816,-61.796428",🔵 eyJpIjoiMTcuMDYwODE2LC02MS43OTY0MjgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjoxNy4wNjA4MTYsImxuZyI6LTYxLjc5NjQyOH0sImUiOjB9
Austria,,"asq,bar",2,"ces,rmo,slk,deu","Arabic (3,000), Chinese (1,200), French (15,000), Greek (12,000), Iranian Persian (2,000), Northern Kurdish (23,000), Polish (39,000), Turkish (68,000)","Arabic (3,000), Chinese (1,200), French (15,000), Greek (12,000), Iranian Persian (2,000), Northern Kurdish (23,000), Polish (39,000), Turkish (68,000)",,deu,"German, Standard",German,"rom,slk,hun,ces,slv,hrv","Romany, Slovak, Hungarian, Czech, Slovene, Croatian","Croatian, Slovene, Czech, Hungarian, Slovak, Romani",,"Vienna_AT,Lower Austria_AT,Upper Austria_AT,Styria_AT,Tyrol_AT,Carinthia_AT,Salzburg_AT,Vorarlberg_AT,Burgenland_AT",9,Eurasia,"The number of individual languages listed for Austria is 11. All are living languages. Of these, 3 are institutional, 5 are developing, 1 is vigorous, and 2 are in trouble.",,,,,AT,47.516231,14.550072,"47.516231,14.550072",🔵 eyJpIjoiNDcuNTE2MjMxLDE0LjU1MDA3MiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ3LjUxNjIzMSwibG5nIjoxNC41NTAwNzJ9LCJlIjowfQ==
Bahamas,,bah,1,"eng,bah","Greek (800), Haitian (20,000)","Greek (800), Haitian (20,000)",,eng,English,English,,,,,,0,Americas,"The number of individual languages listed for Bahamas is 2. All are living languages. Of these, 1 is institutional and 1 is vigorous.",,,,,BS,25.03428,-77.39628,"25.03428,-77.39628",🔵 eyJpIjoiMjUuMDM0MjgsLTc3LjM5NjI4IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6MjUuMDM0MjgsImxuZyI6LTc3LjM5NjI4fSwiZSI6MH0=
Bahrain,,abv,1,"abv,eng,arb","Iranian Persian (48,000), Kerinci (25,000), Korean (1,200), Malayalam (23,600), Tamil (18,000), Telugu (13,000), Urdu (28,800)","Iranian Persian (48,000), Kerinci (25,000), Korean (1,200), Malayalam (23,600), Tamil (18,000), Telugu (13,000), Urdu (28,800)",,arb,"Arabic, Standard",Arabic,,,,,,0,Eurasia,"The number of individual languages listed for Bahrain is 4. All are living languages. Of these, 3 are institutional and 1 is vigorous.",,,,,BH,25.930414,50.637772,"25.930414,50.637772",🔵 eyJpIjoiMjUuOTMwNDE0LDUwLjYzNzc3MiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjI1LjkzMDQxNCwibG5nIjo1MC42Mzc3NzJ9LCJlIjowfQ==
Barbados,,bjs,1,"eng,bjs",American Sign Language (290),American Sign Language (290),,eng,English,English,,,,,,0,Americas,"The number of individual languages listed for Barbados is 2. All are living languages. Of these, 1 is institutional and 1 is vigorous.",,,,,BB,13.193887,-59.543198,"13.193887,-59.543198",🔵 eyJpIjoiMTMuMTkzODg3LC01OS41NDMxOTgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjoxMy4xOTM4ODcsImxuZyI6LTU5LjU0MzE5OH0sImUiOjB9
Belarus,,bel,1,"bel,rus","Eastern Yiddish (231,000), Erzya (2,600), Korean (1,000), Lithuanian (10,000), Polish (25,000), Standard Latvian (1,000), Tatar (12,000), Ukrainian (291,000)","Eastern Yiddish (231,000), Erzya (2,600), Korean (1,000), Lithuanian (10,000), Polish (25,000), Standard Latvian (1,000), Tatar (12,000), Ukrainian (291,000)",,"rus,bel","Russian, Belarusan","Belarusian, Russian",,,,,,0,Eurasia,"The number of individual languages listed for Belarus is 2. All are living languages. Of these, 2 are institutional.",,,,,BY,53.709807,27.953389,"53.709807,27.953389",🔵 eyJpIjoiNTMuNzA5ODA3LDI3Ljk1MzM4OSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjUzLjcwOTgwNywibG5nIjoyNy45NTMzODl9LCJlIjowfQ==
Belize,,"bzj,mop",2,eng,"American Sign Language (3,000), Japanese (200), Korean (200), North Levantine Spoken Arabic (190), Sindhi (1,200), Tamil (160)","American Sign Language (3,000), Japanese (200), Korean (200), North Levantine Spoken Arabic (190), Sindhi (1,200), Tamil (160)",,"bzj,eng","Belize Kriol English, English","English, Kriol",spa,Spanish,Spanish,,,0,Americas,"The number of individual languages listed for Belize is 8. All are living languages. Of these, 3 are institutional, 1 is developing, 3 are vigorous, and 1 is in trouble.",,,,,BZ,17.189877,-88.49765,"17.189877,-88.49765",🔵 eyJpIjoiMTcuMTg5ODc3LC04OC40OTc2NSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjE3LjE4OTg3NywibG5nIjotODguNDk3NjV9LCJlIjowfQ==
Benin,,"ayb,ajg,aug,bly,blo,beh,bqc,bqa,bba,cbj,cib,ddn,dop,fod,fue,fon,gbx,gbs,guw,gbh,idd,ica,ijj,kqk,mxl,mkl,mql,nqk,nqg,ntm,pil,sxw,soy,tfi,tbz,wem,wwa,xwl,xwe,xkb",40,fra,,,,fra,French,French,,,,,,0,Africa,"The number of individual languages listed for Benin is 54. All are living languages. Of these, 9 are institutional, 18 are developing, 25 are vigorous, 1 is in trouble, and 1 is dying.",,,,,BJ,9.30769,2.315834,"9.30769,2.315834",🔵 eyJpIjoiOS4zMDc2OSwyLjMxNTgzNCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjkuMzA3NjksImxuZyI6Mi4zMTU4MzR9LCJlIjowfQ==
